documento,nombre,grupo,profesor
312017,Luisa Dalia Dávila,6B,Profe Juan
737706,Amelia Manzanares,6C,Profe Juan
612321,Dr. Alta  Gracia Baca,6C,Profe Laura
387166,Sr(a). Maximiliano Terán,6C,Profe Carlos
410407,Jacinto Mena,6A,Profe Carlos
102036,Zeferino Cynthia Yáñez Cuellar,7B,Profe Laura
872496,Mtro. Rosario de la Garza,7A,Profe Ana
580115,Hilda Gregorio Barrera,6A,Profe Juan
341913,Liliana Alejandro Barrientos,7C,Profe Ana
747872,Héctor Roque,7B,Profe Juan
263158,Emilio Irma Valentín,6A,Profe Juan
857088,Rodrigo Castillo,7A,Profe Juan
307078,Elvia Galarza,6C,Profe Laura
573016,Esparta Bonilla,7B,Profe Laura
463050,Ricardo Cortez Zúñiga,6C,Profe Juan
723106,Ing. Alberto Montes,7A,Profe Ana
689737,Renato Humberto Muñiz,6B,Profe Ana
579969,Daniel Raquel Lemus,6C,Profe Laura
114760,Araceli Victoria Peralta Roldán,6B,Profe Ana
149653,Delia Ordóñez,6B,Profe Juan
806376,Sr(a). Dulce Ozuna,6A,Profe Ana
957386,Jonás Eduardo Vaca,7B,Profe Juan
340566,Karina Ruby Armendáriz Fernández,7B,Profe Laura
632968,María Teresa Matías Colón,6C,Profe Laura
846873,Eloisa Gurule Flores,7C,Profe Ana
687969,Helena Reynoso Colunga,7A,Profe Laura
479061,Julio César Menchaca Pedraza,6B,Profe Ana
820589,Antonia Crespo,6A,Profe Carlos
699711,Mario Casárez,7B,Profe Laura
385652,Mtro. Camila Rentería,7C,Profe Laura
612293,Lic. Noemí Sanabria,7C,Profe Laura
974664,Mtro. Tania Piña,6A,Profe Carlos
296511,Ing. Gerónimo Villaseñor,7C,Profe Ana
812742,Esmeralda Catalina Olivares Prado,7A,Profe Ana
225546,Salvador Franco,7A,Profe Juan
665312,María Elena Mauro Barrios Salas,6A,Profe Ana
959938,Emilio Escamilla Alvarez,7C,Profe Ana
427006,Cristobal Palomino,6C,Profe Ana
717855,Zacarías Rufino Zayas,7C,Profe Carlos
815373,Yeni Dulce Cedillo,7C,Profe Laura
244923,Sr(a). José Emilio del Río,6A,Profe Carlos
788024,Lic. Úrsula Samaniego,7B,Profe Juan
249374,Jonás Gaytán Urrutia,6A,Profe Ana
197856,Sandra Blanca Zaragoza Ocampo,6C,Profe Carlos
165142,Oswaldo Toro,6C,Profe Carlos
539098,Arcelia Adriana Rojas Negrón,7A,Profe Carlos
821447,Mateo Pulido,7C,Profe Juan
823554,Adalberto Cortez Juárez,7C,Profe Carlos
118648,Jacobo Garica Salcedo,7C,Profe Ana
631462,Ing. Leonel Sáenz,7A,Profe Ana
981963,Gabino Armendáriz Madrigal,7C,Profe Ana
506014,Nancy Blanca Arevalo Villanueva,6B,Profe Laura
716370,Lic. Gustavo Madrigal,6A,Profe Juan
598477,Mauricio Silvano Marín Puga,6C,Profe Carlos
159077,Lic. Martín Henríquez,6B,Profe Laura
698653,Bernardo Hilda Sarabia Berríos,7C,Profe Juan
613440,Sr(a). Sandra Gamez,7B,Profe Ana
348602,Graciela Daniela Grijalva,6B,Profe Carlos
910773,Sr(a). Uriel Negrón,6A,Profe Ana
574829,Sofía León,7C,Profe Laura
637248,Mtro. Ángela Roybal,7B,Profe Laura
760773,Dulce Noelia Armenta,7C,Profe Juan
341018,Ivonne Nelly Aranda Soria,6A,Profe Laura
937421,Ing. Violeta Cardona,7A,Profe Ana
121670,Ing. Guadalupe Camacho,6C,Profe Ana
154441,Yuridia Soliz Fernández,7B,Profe Juan
226784,Georgina Teresa Garay Barela,6A,Profe Laura
387004,Alfonso Jorge Luis Madrid Delgado,6A,Profe Ana
830942,Cornelio Julio del Valle,6A,Profe Carlos
478189,Octavio Arenas Abrego,7B,Profe Laura
810433,Lic. Camila Palomino,6A,Profe Ana
475321,Javier Salas Chacón,7B,Profe Ana
105367,Anel Teresa Toro Pedroza,6A,Profe Ana
515494,Emiliano Montalvo,7B,Profe Carlos
614364,Úrsula Rosa Nevárez,7C,Profe Ana
758715,Benjamín Dueñas Orosco,7B,Profe Juan
951037,Sr(a). Carolina Aguilera,7C,Profe Ana
151784,Tania Federico Cotto,6A,Profe Juan
512497,Francisco Javier Amelia Carrillo,6A,Profe Carlos
152888,Rafaél Gerónimo Blanco Cepeda,6B,Profe Carlos
359999,Aldo Arredondo Téllez,7A,Profe Carlos
684172,Mitzy Montalvo Valdez,6B,Profe Juan
650088,Alicia Aida Chacón Briseño,6C,Profe Juan
841973,Raquel Tamayo,6B,Profe Carlos
729770,Alonso Olga Rivas Segovia,7B,Profe Laura
323240,Juan Joaquín Solorio,6A,Profe Juan
362874,René Clara Sisneros Moya,7B,Profe Laura
711873,Federico Georgina Ocasio,7A,Profe Laura
411989,María Caridad Santiago Valdivia,7B,Profe Carlos
983602,Ing. Pilar Sisneros,7A,Profe Ana
248285,Lic. Leonor Roybal,7B,Profe Ana
624763,Rodrigo Yeni de la Crúz,7C,Profe Carlos
742220,Silvia Madrigal,6B,Profe Carlos
121694,Susana Nava,7C,Profe Juan
777772,Mtro. Marisol Lozano,7B,Profe Juan
433127,Dr. Martha Aguilera,7C,Profe Juan
220464,Sr(a). Ruby Ferrer,6B,Profe Laura
828628,Celia Lira,7C,Profe Carlos
970747,Amanda Niño Campos,7C,Profe Laura
261770,Dr. Magdalena Hinojosa,7A,Profe Ana
294578,Adán Daniel Castellanos Elizondo,7A,Profe Ana
938009,Jorge Tomás Valladares Casanova,7A,Profe Ana
610444,Dr. Miriam Sáenz,6A,Profe Carlos
192691,Cristina Jaime Alvarado Rojas,6A,Profe Ana
202859,Concepción Abelardo Hernández Muro,7B,Profe Carlos
620863,Pamela Soledad Meléndez,6C,Profe Juan
897556,Lic. Ramón del Valle,7C,Profe Juan
344753,Emiliano Gerónimo Granado Caldera,6C,Profe Juan
213800,Noelia Gabino Salcido,6A,Profe Juan
200677,Mtro. Antonio Madrid,7A,Profe Juan
185656,Minerva Mojica,7B,Profe Ana
367296,Abelardo Bianca Ponce,7A,Profe Ana
878362,Mtro. Salma de la Torre,7C,Profe Ana
586644,Itzel Mario Alvarez Camarillo,7C,Profe Ana
159090,Sr(a). Fidel Blanco,6A,Profe Ana
727242,Zacarías Rolón,6B,Profe Juan
755385,Adela Ernesto Altamirano Garibay,6B,Profe Ana
977840,Augusto Rosales,7A,Profe Laura
934917,Juan Carlos Fernando Hurtado,7B,Profe Laura
857344,Trinidad Luz Almonte Canales,7A,Profe Carlos
452025,Armando Ojeda Quiñones,6B,Profe Ana
267792,Citlali Ramiro Lebrón,6A,Profe Ana
310022,Ing. Aurora Negrete,6C,Profe Juan
926037,Daniela Escalante Contreras,6B,Profe Carlos
873452,José Luis Manuel Soria,6C,Profe Ana
925100,Ing. José Manuél Zepeda,6A,Profe Juan
476418,Sr(a). Silvia Villagómez,7B,Profe Ana
297549,Adela Rodolfo Tamez,7A,Profe Carlos
598419,Luz Tórrez Aranda,7B,Profe Juan
510073,Claudia Francisco Ojeda Montemayor,6A,Profe Ana
395433,Dr. Federico Mejía,6B,Profe Juan
562011,Eugenio Dulce María de Anda,6C,Profe Ana
127895,Dr. Ernesto Cisneros,7C,Profe Carlos
123707,Sr(a). Verónica Rojo,6A,Profe Juan
721036,Adriana Benavídez,7B,Profe Carlos
892563,Francisco Javier Ernesto Armas,7C,Profe Carlos
662985,Alma Carolina Curiel,7B,Profe Laura
249417,Lorena Gamez,6A,Profe Juan
760981,María Eugenia Castellanos,7A,Profe Juan
215860,Socorro Esparza Vásquez,6A,Profe Carlos
895946,Judith Cecilia Ybarra,7A,Profe Ana
123325,Ing. Mercedes Cisneros,7C,Profe Ana
853125,Reynaldo Raúl Flórez Meraz,6C,Profe Laura
950005,Josefina Jacinto Echeverría Caraballo,7B,Profe Laura
557701,Amelia Vargas,7B,Profe Laura
911862,Minerva Abril Alvarez,7B,Profe Ana
121170,Minerva Castañeda Beltrán,6A,Profe Juan
953482,Laura Julio César Mateo Guillen,6C,Profe Carlos
257176,César Estela Lucio Orosco,6C,Profe Carlos
929161,Claudio Miranda Calvillo,7A,Profe Ana
629707,Frida Arcelia Meza Alfaro,6C,Profe Laura
707027,Mtro. Leticia Cornejo,7C,Profe Juan
481025,Julio César Camarillo Cruz,7A,Profe Laura
906600,Raquel Mireles Sanabria,7C,Profe Laura
990769,Andrés Rosado Monroy,6B,Profe Ana
667678,Fabiola Ybarra Vergara,7C,Profe Laura
315242,Gabriel Flores Henríquez,6B,Profe Juan
818456,Laura Luis Rosario Tafoya,7C,Profe Ana
477175,Daniela Ruiz,7A,Profe Carlos
706850,Silvia Muñoz Munguía,7A,Profe Laura
775435,Yolanda Óscar Cano,7C,Profe Carlos
820914,Guillermo Ivonne Olivo Villarreal,7C,Profe Carlos
885951,Nadia Matos,7B,Profe Ana
948541,Isaac Reséndez Soria,7B,Profe Carlos
959454,Adriana Correa,6A,Profe Laura
844484,Evelio Pichardo Gollum,7A,Profe Laura
739521,Dr. Ángel Pichardo,7B,Profe Laura
837200,Mtro. Caridad Alcaraz,7C,Profe Laura
999006,Emilia Amanda Jáquez,7A,Profe Laura
431833,Linda Marín,6A,Profe Ana
678658,Mariana Lebrón Olivera,6C,Profe Laura
532967,Emiliano Baeza,7B,Profe Carlos
163060,José Arce Rosario,6A,Profe Carlos
832176,Soledad Francisco Jurado,6B,Profe Ana
670674,Margarita Abigail Noriega,6A,Profe Ana
520471,Tania Nájera Rodrígez,7B,Profe Carlos
322118,Ing. José Luis Leal,7B,Profe Ana
584564,Sergio Gonzalo Meza,7B,Profe Laura
650993,Ing. Noemí Madrid,6B,Profe Carlos
356706,Elvira Gracia,7A,Profe Juan
887975,Lic. Eric de Anda,7C,Profe Ana
191629,Luis Felix Aguirre Aguayo,7C,Profe Laura
181231,Miguel Ruby Corral Contreras,6B,Profe Juan
646086,Mtro. Jorge Brito,7A,Profe Carlos
758642,Miriam Olivera Ontiveros,7C,Profe Carlos
781890,Angélica Romero,7A,Profe Ana
701528,Lucía Monroy Díaz,6B,Profe Ana
829549,Evelio Quiñones Archuleta,7C,Profe Ana
747353,Modesto Sandoval Samaniego,6C,Profe Laura
161261,Jorge Véliz,6B,Profe Ana
455591,Mayte Guerrero Saucedo,7C,Profe Laura
261191,Arcelia Carrero,7C,Profe Laura
736853,Zoé Violeta Corona,6C,Profe Laura
390254,Alonso Fernando Corral Barajas,6C,Profe Carlos
453296,Omar Feliciano Regalado,7C,Profe Juan
736259,Sr(a). César Ruiz,6A,Profe Laura
369623,Héctor Rodríguez,7B,Profe Laura
396240,Mariano Jasso,7A,Profe Carlos
736362,Sr(a). Esther López,7C,Profe Carlos
260589,Sr(a). Patricio Valenzuela,6C,Profe Ana
330499,Emilio Lorena Arriaga,7A,Profe Juan
218066,Micaela Karla Pulido,7C,Profe Juan
871875,Lic. Frida Casas,6B,Profe Laura
314734,Sr(a). Pilar Angulo,6C,Profe Carlos
827207,Lic. José María Barreto,6B,Profe Laura
364785,Noelia Rafaél Morales,7C,Profe Juan
233027,Jaime Pamela Villalpando,7C,Profe Juan
274086,Mtro. Guillermina Quiñónez,6B,Profe Carlos
757369,Verónica Julio César Ledesma,6A,Profe Carlos
988927,Dr. Hugo Cortez,7C,Profe Juan
841743,José Luis Vélez,6C,Profe Carlos
719497,Minerva Crespo Arguello,6B,Profe Carlos
870149,Carla Armas,7C,Profe Laura
399193,Cristal Gaitán Martínez,7B,Profe Carlos
139519,Paola Vanesa Benavides,6B,Profe Carlos
528395,Ángela Bernardo Cantú,7B,Profe Carlos
809349,Eugenia Patiño,6C,Profe Carlos
773615,Zacarías Concepción Menchaca,7A,Profe Carlos
499224,Víctor César Tamayo Nava,7B,Profe Carlos
370079,Esther María Teresa Roybal Olivárez,6C,Profe Juan
995566,Anabel Garay Matos,6B,Profe Carlos
898011,Carlota Víctor Armendáriz,7C,Profe Laura
742206,Cristal Silvano Mejía,7A,Profe Ana
298436,Rolando Valverde Cedillo,7A,Profe Carlos
417154,Emilio Soria Chapa,6A,Profe Ana
289463,Dr. Irma Anaya,7B,Profe Juan
848746,Susana Aguilar,7C,Profe Ana
894345,Julio César Llamas,7A,Profe Ana
850158,Esther Barbara Barela,6A,Profe Laura
782539,Humberto Cervántez,6B,Profe Juan
461198,Nayeli Amanda Puga,7B,Profe Ana
593492,Jorge Luis Guerrero Barraza,6B,Profe Juan
122259,Omar Guzmán Holguín,6A,Profe Laura
658278,Natalia Joaquín Cedillo,7B,Profe Ana
100916,Dr. Cecilia Rendón,7C,Profe Juan
567520,Araceli Munguía Abrego,7A,Profe Carlos
111923,Verónica Alicia Tórrez Zapata,6B,Profe Laura
369483,Violeta Raúl Abreu,6C,Profe Juan
484980,Guadalupe Estefanía Sánchez Polanco,7C,Profe Laura
639346,Dr. Victoria Huerta,7A,Profe Juan
274673,Camila Gerónimo Robles,7B,Profe Laura
262946,Marisol Franco,6B,Profe Juan
942965,María Luisa Ramón Velázquez,6A,Profe Carlos
789697,Ing. Genaro Velázquez,6C,Profe Ana
163752,Fernando Cynthia Archuleta,6A,Profe Carlos
868262,Dr. Espartaco Sanches,6B,Profe Carlos
789181,Claudia María Luisa López Negrón,7A,Profe Juan
660325,Abraham Almonte,6C,Profe Juan
407791,Martha Fonseca,6A,Profe Juan
921444,Mtro. Jos Vigil,6A,Profe Juan
387842,Dr. Genaro Acevedo,6B,Profe Ana
874278,Emilio Castellanos,6B,Profe Juan
200838,Sr(a). Noemí Valdivia,6A,Profe Carlos
256077,Delia Alberto Escalante,6A,Profe Ana
178773,Eugenia Eugenia Leal Ramos,7C,Profe Laura
323154,Carla Valdez,7B,Profe Carlos
923862,Abraham Micaela Menchaca,6C,Profe Laura
657385,Gustavo Téllez Gastélum,6A,Profe Juan
272863,Salma Rosa Segura Rocha,6B,Profe Juan
448447,Timoteo Cornelio Macías,6A,Profe Ana
320480,Gabriel Leonardo Robledo Benavides,6B,Profe Carlos
657399,Salma Reséndez,6B,Profe Juan
211842,Ing. Ángel Espinal,7B,Profe Juan
956068,Ing. Óscar Terrazas,7B,Profe Ana
907375,Mtro. Nayeli Vargas,7A,Profe Juan
241422,Maximiliano Solís Jáquez,6B,Profe Carlos
703669,Lic. Arturo Guerra,6A,Profe Juan
691989,Horacio Guerrero Serrato,6C,Profe Ana
290330,Adriana Perales Madera,7A,Profe Juan
470671,Asunción Acosta Soria,6A,Profe Laura
701232,Manuel Gilberto Roldán Meraz,7B,Profe Carlos
903001,Sr(a). Inés Ibarra,7C,Profe Laura
340320,Lorena Antonio Quintana Angulo,7C,Profe Carlos
875475,Dr. Ernesto Otero,7C,Profe Ana
766292,Sr(a). Mariana Nájera,7B,Profe Carlos
705142,Leonel Polanco Otero,7A,Profe Carlos
702097,Humberto Cristal Acosta Abreu,7B,Profe Carlos
733864,Yeni Amelia Romo Rico,7B,Profe Ana
882889,Itzel Jonás Rubio Soto,7A,Profe Laura
804168,Minerva Reyna León,6B,Profe Juan
937901,Ing. Irene Guerra,7A,Profe Carlos
976807,Esteban Héctor Arguello Puga,7A,Profe Ana
749125,Dr. Irma Tijerina,7A,Profe Ana
872085,Ing. Arturo Sauceda,7A,Profe Carlos
148281,Gonzalo Amaya,7B,Profe Ana
397051,Jesús Fidel Sarabia Casárez,6A,Profe Carlos
614383,Dr. Ruby Tapia,6C,Profe Juan
414397,Dr. Renato Farías,6C,Profe Laura
707211,Eugenia Florencia Franco,7C,Profe Carlos
535668,Ing. Federico Briseño,6C,Profe Laura
317364,Itzel Eric Sarabia Lemus,7B,Profe Ana
523205,Sr(a). Luisa Gaytán,6C,Profe Carlos
449026,Esparta Henríquez,7C,Profe Laura
959670,Emiliano Segura Curiel,7C,Profe Juan
458738,Miriam Chacón Véliz,6B,Profe Ana
500002,Dr. Rosario Cortés,6C,Profe Carlos
311723,Emiliano María Cristina Mesa de la O,6C,Profe Juan
715836,Mtro. María Teresa Rivera,7B,Profe Ana
587575,Ricardo Jasso Gaytán,6C,Profe Juan
535805,Rosalia Irizarry Ureña,6C,Profe Laura
316578,Gustavo Peña,7B,Profe Juan
954737,Alma Ulibarri,7B,Profe Carlos
399016,Asunción Huerta Moreno,6C,Profe Juan
248928,Natalia Moreno Trujillo,6C,Profe Ana
536390,Citlali Mascareñas Acuña,7C,Profe Ana
768484,Sergio Solorio Chacón,6B,Profe Ana
859326,Susana Godínez Sánchez,6A,Profe Laura
904295,Sessa René Zamora Rodríguez,7B,Profe Ana
206377,Mtro. Abelardo Hernández,7B,Profe Laura
927327,Carlos Héctor Feliciano,7C,Profe Ana
782093,Emiliano Olmos,6A,Profe Carlos
805180,Mtro. Cynthia Corral,6C,Profe Laura
255045,Alonso María Teresa Mena,6B,Profe Juan
910560,José Eduardo Rodríguez,7C,Profe Laura
518320,Enrique Rubio Canales,6C,Profe Ana
367942,Rubén Daniela Ledesma Mondragón,7A,Profe Juan
755099,Leonor Julia Salazar Jáquez,7C,Profe Carlos
744525,Mauro Durán Armas,7A,Profe Carlos
737558,Jonás Quiñones,7A,Profe Ana
993276,Verónica Cedillo,7A,Profe Laura
169201,Soledad Lucas Carrillo Rojas,6A,Profe Laura
433533,Dulce Celia Ulibarri Montoya,7B,Profe Laura
828930,Paola Blanca Briseño Arredondo,7B,Profe Ana
233399,Iván Jorge Luis Urbina,7B,Profe Laura
608155,Emiliano Mascareñas Villaseñor,6C,Profe Carlos
762300,Asunción Mónica Benavídez,7C,Profe Juan
705113,Anel Aida Acosta,7C,Profe Juan
295671,Irma Pineda Valentín,7C,Profe Laura
297082,Hilda Velásquez,7C,Profe Laura
720699,Amador Vela Páez,7B,Profe Juan
606219,Armando Arcelia Rascón Mena,6B,Profe Laura
993268,Iván Esther Garay,6B,Profe Carlos
905341,Amador de la O,6B,Profe Laura
490847,Eloisa Timoteo Linares Martínez,7A,Profe Carlos
813590,Alonso Burgos Ramírez,7B,Profe Carlos
999012,Paulina Hernádez Cardona,6C,Profe Ana
776327,Ana Luisa Ocasio,7B,Profe Ana
304122,Salma Caraballo Haro,6A,Profe Juan
952076,Lic. Yeni Sánchez,6C,Profe Ana
605291,Rafaél Carmona,7C,Profe Carlos
213846,Dr. Olga Carranza,6C,Profe Juan
498522,Agustín Judith Quesada Velasco,7C,Profe Ana
479320,Dr. Diego Tamez,7A,Profe Ana
503322,Marcela Torres Roldán,7B,Profe Carlos
158818,Felipe Gloria Bravo,7B,Profe Juan
167420,Marisol Itzel Carrasco Santacruz,6C,Profe Laura
144247,Ivonne Avilés,7A,Profe Ana
700380,Ing. Leticia Zedillo,7B,Profe Carlos
291649,Ing. Julio César Limón,7A,Profe Juan
281042,Ing. Ángel del Río,6A,Profe Juan
360794,Luis Miguel Ávila,6A,Profe Carlos
847352,Joaquín Paola Marroquín,7C,Profe Laura
528016,Ing. Paola Ramos,6B,Profe Laura
181617,Hermelinda Virginia Alonzo,7C,Profe Ana
693204,José Manuél Trinidad Armendáriz,7C,Profe Juan
916525,Sr(a). Iván Padilla,6B,Profe Juan
805150,Ing. Israel Rangel,6A,Profe Laura
987101,Miriam Adán Holguín Benavídez,6A,Profe Laura
391614,Margarita Sessa Acosta Canales,6A,Profe Laura
343323,Cristian Tejada Hernádez,6A,Profe Carlos
422455,Miguel Ángel Ana Ortiz,7A,Profe Ana
494725,Mauricio Robles,7B,Profe Carlos
238726,Alfredo Sanches,7B,Profe Ana
246664,Claudio Bernal Chacón,7B,Profe Juan
775991,Rolando Julio Colón,6C,Profe Juan
427157,Sara Vergara Bueno,7C,Profe Laura
422122,Sessa Elvira Arenas Matías,6A,Profe Juan
411109,Florencia Isabel Caraballo,6C,Profe Ana
283366,Ariadna Zelaya Pacheco,7B,Profe Juan
750387,Jonás Raquel Jaimes,6C,Profe Laura
526645,Marisol Pabón,6B,Profe Juan
155048,Jerónimo Palacios,6A,Profe Juan
756034,Alejandro Cuellar Gallegos,6C,Profe Carlos
803427,Luis Manuel Ricardo Becerra,6C,Profe Ana
294845,Wilfrido Héctor Robles Candelaria,7B,Profe Laura
591307,Mtro. Rolando Ozuna,7B,Profe Carlos
582741,Virginia Berta Adame Acosta,7B,Profe Carlos
355290,Porfirio Contreras Bravo,6C,Profe Carlos
827099,Ricardo Francisca Rojas,7A,Profe Carlos
995303,José Manuél Timoteo Espinal Esquivel,6A,Profe Carlos
335842,Aida Rivas,7C,Profe Ana
852807,Ing. Marisol Narváez,7A,Profe Carlos
471093,Cecilia Rivas,7B,Profe Laura
649775,Leonel Mares,6B,Profe Carlos
255507,Lic. Clara Mireles,7C,Profe Carlos
919018,Ignacio Ordóñez,6A,Profe Laura
866785,Sr(a). Gonzalo Armas,6B,Profe Laura
285576,Salma Leticia Olmos,7C,Profe Juan
871878,Ing. Wendolin Cotto,7A,Profe Juan
950165,Sr(a). René Almaraz,7B,Profe Ana
848464,Luis Miguel Amaya Pacheco,6A,Profe Carlos
195798,Rosalia Roberto Ornelas,6B,Profe Ana
501860,Esteban Acosta Sosa,6B,Profe Juan
645425,Aurelio Barragán Corona,6B,Profe Laura
754979,Sr(a). Wilfrido Montes,6A,Profe Juan
974412,Joaquín Sepúlveda,6C,Profe Laura
863087,Cristobal Zambrano Sandoval,7A,Profe Laura
174348,Conchita Meza,7B,Profe Carlos
781641,José María Camila Hidalgo Camarillo,7C,Profe Juan
375333,Víctor Lovato Uribe,7A,Profe Carlos
581946,Benjamín Marisol Madera,6A,Profe Juan
817289,Lic. Octavio Juárez,6C,Profe Juan
812762,Ignacio Mercado,6A,Profe Laura
115050,Inés Eugenio Anguiano Ledesma,6B,Profe Laura
185591,Jesús María José Benavídez Tovar,6C,Profe Laura
645736,Arcelia Vicente Cervántez,7C,Profe Juan
817676,Amelia Villagómez,7C,Profe Juan
382499,Ing. Cristal Griego,6B,Profe Ana
318320,Javier Israel Ballesteros Valenzuela,6C,Profe Juan
746694,Lorena Andrés Armendáriz Lugo,7C,Profe Ana
801719,Nancy Zeferino Garay,6C,Profe Ana
161905,Ramiro María Teresa Beltrán Casillas,6C,Profe Juan
210044,Marisol Marisol Cabrera Ayala,6B,Profe Juan
676475,Araceli Menéndez,7A,Profe Ana
109861,Mtro. Modesto Feliciano,7B,Profe Juan
150986,Sr(a). Francisco Javier Chapa,7C,Profe Laura
416081,José Manuél Teresa Téllez Campos,6B,Profe Juan
102158,Berta Jimínez,7B,Profe Laura
379869,Samuel Esmeralda Vásquez,6B,Profe Ana
552287,Elias Jos Alejandro Carvajal,6A,Profe Laura
870480,Olga Lerma,6A,Profe Ana
131573,Dr. Andrea Cortez,6A,Profe Laura
475314,Victoria Francisca Partida Esquivel,6A,Profe Juan
619751,Camilo Ruby Jáquez Gálvez,6A,Profe Carlos
704160,Augusto Camarillo Muro,6B,Profe Ana
754286,Olivia Osorio,7A,Profe Carlos
901792,Mtro. Fidel Matos,7A,Profe Carlos
523341,Eva Hernández,6B,Profe Juan
104448,Eugenio Urrutia Téllez,7A,Profe Juan
607545,Irene Suárez,7C,Profe Ana
236054,Carla Maldonado Chacón,7B,Profe Juan
740774,Mtro. Sessa Varela,7A,Profe Ana
531901,Julio Rosario Páez,6A,Profe Juan
652492,Germán Nájera,6C,Profe Juan
552816,Miguel Ángel María Luisa Loya,6A,Profe Juan
821851,Mtro. Reina de Anda,6C,Profe Carlos
845928,Lourdes Nadia Sanches,6C,Profe Juan
905014,Abigail Roldán Molina,6A,Profe Carlos
824487,Ing. Aurelio Negrón,6B,Profe Ana
690710,Nelly Mata Olivas,6C,Profe Ana
778247,Sr(a). Eloisa Avilés,6B,Profe Carlos
104235,Guillermina Flavio Robles Cuellar,7C,Profe Ana
307382,Delia Cervantes,7C,Profe Laura
119404,Felipe Barreto Galarza,6A,Profe Laura
291588,Dr. Reina Jáquez,6C,Profe Carlos
316516,Adela Navarrete Candelaria,6A,Profe Juan
601052,Mtro. Andrés Guardado,7A,Profe Juan
831545,Ing. Natividad Ybarra,6B,Profe Carlos
401843,Marisela Rosa Rodríquez Vela,7B,Profe Carlos
895296,Ilse Perales Velázquez,6A,Profe Ana
388852,Ing. Ana María Partida,7B,Profe Laura
756083,Anel Hilda Botello Chacón,6B,Profe Carlos
230153,Abigail Gerardo Romo,7A,Profe Ana
839051,Amelia Rael,6A,Profe Juan
126312,Genaro Sandoval,7B,Profe Ana
241896,Humberto Rivera Villanueva,6A,Profe Juan
428567,María Ana Cordero,6A,Profe Laura
938675,Esparta Ramos,7A,Profe Juan
377670,Jaime Rosario Vaca Ramírez,7C,Profe Carlos
599473,Gonzalo Ceballos,6C,Profe Ana
523308,María Teresa Vargas,6B,Profe Carlos
468707,Gilberto Córdova Cortés,7A,Profe Ana
156112,Ing. Raquel Soliz,7C,Profe Ana
689953,Sr(a). Flavio Acevedo,6A,Profe Juan
439993,Mtro. Micaela Saavedra,7B,Profe Ana
707018,Ernesto Aguilera Melgar,6C,Profe Laura
690747,Ing. Citlali Valdés,6C,Profe Laura
801530,Salvador Daniela Crespo Gaytán,7A,Profe Carlos
950612,Marisol Alemán,6B,Profe Juan
446605,Zacarías Zaragoza Montañez,7A,Profe Juan
520230,María Luisa Irene Aguilar,6A,Profe Laura
576144,Hermelinda Aguilar,6A,Profe Laura
387216,Gustavo Sánchez,6A,Profe Juan
868217,Modesto Abraham Cadena Verduzco,6B,Profe Laura
165804,Bianca Flavio Pelayo Granado,6A,Profe Laura
358426,Jaime Vallejo Alcaraz,6A,Profe Juan
693612,Abril Benjamín Alcántar,7B,Profe Carlos
697519,Lic. Adela Chapa,6A,Profe Ana
514019,Dr. Mercedes Arce,7B,Profe Laura
205842,Santiago Salgado,6A,Profe Juan
621031,Perla Domínguez,6A,Profe Juan
698369,Ana María Loera Marrero,6B,Profe Laura
778883,Lic. José Manuél Irizarry,6C,Profe Carlos
254279,Javier Camarillo,6A,Profe Juan
460953,Benito Gerardo Guerrero Vanegas,6A,Profe Ana
330977,Ing. Daniel Llamas,7B,Profe Laura
373246,Lic. Alfredo Frías,6B,Profe Ana
947441,Dr. Graciela Mota,7B,Profe Carlos
311992,Ing. Zoé Armendáriz,7A,Profe Laura
539274,David Sarabia Flores,6C,Profe Ana
654401,Sergio Fuentes,7C,Profe Laura
694565,Araceli Cotto,7A,Profe Laura
168202,Olga Martín Monroy Segura,7C,Profe Ana
617185,Marisela Julio Casillas Villarreal,6C,Profe Ana
847900,Karla Norma Bustos,6A,Profe Juan
276250,Gregorio Irma Aguayo,6C,Profe Carlos
639904,Genaro Wilfrido Bañuelos,7B,Profe Carlos
860681,Irma Amador Cadena,7B,Profe Carlos
908012,Dr. Nicolás Tafoya,7A,Profe Carlos
954507,Ing. Gregorio Avilés,7B,Profe Laura
327332,Mercedes Maldonado,6A,Profe Juan
461359,Estela Cabán Espino,7C,Profe Ana
418137,Abelardo Camila Colón Aragón,6A,Profe Ana
997461,Helena Esparta Altamirano,6B,Profe Juan
658682,Margarita Godínez,7C,Profe Laura
357671,Pedro Francisco Viera Benítez,6C,Profe Juan
683024,Jacinto Blanco,7C,Profe Carlos
644136,Gerónimo Agustín Barela Nieto,7C,Profe Juan
557410,Ing. Raúl Zarate,6C,Profe Ana
378785,Victoria Hinojosa,6B,Profe Juan
747939,Felipe Daniel Arce Laureano,6B,Profe Laura
756179,Raquel Aguayo Escobar,7B,Profe Juan
114904,Mauro Daniel Hidalgo,6B,Profe Ana
291027,Espartaco Lara García,7C,Profe Ana
257333,Augusto Borrego,6A,Profe Juan
900856,Esparta Lorena Carreón Toro,6C,Profe Laura
860887,Dr. Luis Ozuna,7A,Profe Ana
358185,Celia Diana Piña Romo,7C,Profe Laura
792562,Octavio Rubén Osorio Nevárez,7B,Profe Ana
310812,Alfredo Reina Villaseñor Tejeda,7A,Profe Laura
631866,Beatriz Casares,7B,Profe Laura
